iter	RMSE
0	14.93145148
1	14.85443796
2	14.77832828
3	14.70608427
4	14.63752318
5	14.57710585
6	14.52791812
7	14.46782332
8	14.40066171
9	14.3469507
10	14.29543037
11	14.24611747
12	14.19400838
13	14.14993636
14	14.10318707
15	14.06284072
16	14.02525996
17	13.98498797
18	13.94317282
19	13.91134779
20	13.87661554
21	13.84129033
22	13.80719725
23	13.77427786
24	13.75463893
25	13.72650409
26	13.70064207
27	13.67617068
28	13.65144586
29	13.63230288
30	13.60932858
31	13.58552325
32	13.56534854
33	13.54938878
34	13.53602677
35	13.520152
36	13.50054765
37	13.48435055
38	13.46675291
39	13.44845967
40	13.43314668
41	13.41785968
42	13.40266258
43	13.38888016
44	13.3773772
45	13.36456799
46	13.35260545
47	13.33632707
48	13.32419531
49	13.31416503
50	13.30285115
51	13.29415805
52	13.28403392
53	13.27519435
54	13.26398414
55	13.25079167
56	13.24118329
57	13.22990743
58	13.2209939
59	13.21224922
60	13.20267703
61	13.19466673
62	13.18666731
63	13.17879652
64	13.16974441
65	13.16154536
66	13.15135995
67	13.14404287
68	13.13545653
69	13.12855518
70	13.12210181
71	13.11285263
72	13.10580112
73	13.09913864
74	13.0928905
75	13.08412996
76	13.07983031
77	13.07082985
78	13.06587349
79	13.05840262
80	13.05335962
81	13.04857472
82	13.04300835
83	13.03770761
84	13.03162605
85	13.02552735
86	13.01849287
87	13.0127582
88	13.00700125
89	13.00447015
90	13.00012982
91	12.99445417
92	12.99007938
93	12.98595055
94	12.98335325
95	12.97923423
96	12.97423338
97	12.9686136
98	12.96211361
99	12.95849373
100	12.95364037
101	12.9497813
102	12.94502567
103	12.93966156
104	12.93631148
105	12.93364465
106	12.9297613
107	12.92521659
108	12.92218223
109	12.91741145
110	12.91433068
111	12.91241514
112	12.90899026
113	12.9074382
114	12.90311025
115	12.89912372
116	12.89494992
117	12.89258872
118	12.88958071
119	12.88503547
120	12.88274581
121	12.87999065
122	12.8764415
123	12.87440733
124	12.87029471
125	12.86767651
126	12.8652639
127	12.86290684
128	12.85980821
129	12.85820577
130	12.85454731
131	12.85210388
132	12.84890149
133	12.84567995
134	12.84346623
135	12.84046955
136	12.83715717
137	12.8348727
138	12.83238661
139	12.82884175
140	12.82552161
141	12.82402202
142	12.8208756
143	12.81794255
144	12.81623297
145	12.81376926
146	12.81180048
147	12.80910879
148	12.80673309
149	12.80417228
150	12.80151652
151	12.7992896
152	12.79760959
153	12.79528173
154	12.79330514
155	12.791486
156	12.78958399
157	12.78802655
158	12.78670239
159	12.78516956
160	12.78302556
161	12.78032179
162	12.77824662
163	12.77707545
164	12.77499711
165	12.77340733
166	12.77134682
167	12.76941596
168	12.76748429
169	12.7662479
170	12.76417119
171	12.76272265
172	12.76116871
173	12.75935476
174	12.75739745
175	12.75558169
176	12.75473317
177	12.75343826
178	12.75221398
179	12.75070542
180	12.74844762
181	12.74682108
182	12.74555278
183	12.74415518
184	12.74318168
185	12.74150339
186	12.74029219
187	12.7386993
188	12.73795951
189	12.73634118
190	12.73517614
191	12.73361277
192	12.73248829
193	12.73098569
194	12.72936214
195	12.72746389
196	12.72634478
197	12.72564786
198	12.72456654
199	12.72395114
